nazwa_pliku,obiekt,pewnosc,x1,y1,x2,y2
354d00bef5.jpg,person,0.86,0.0,1010.8,219.8,1342.5
354d00bef5.jpg,person,0.5,306.2,412.6,549.9,986.8
354d00bef5.jpg,person,0.48,304.3,414.1,552.0,1260.3
354d00bef5.jpg,person,0.43,224.3,723.2,493.0,1293.5
354d00bef5.jpg,person,0.39,180.3,1025.0,438.2,1342.4
354d00bef5.jpg,person,0.39,226.5,721.5,491.1,1018.0
354d00bef5.jpg,person,0.35,0.0,0.6,253.8,343.5
354d00bef5.jpg,person,0.34,0.0,686.2,231.1,1018.4
354d00bef5.jpg,person,0.28,0.0,343.7,237.6,680.1
354d00bef5.jpg,person,0.25,0.0,686.7,234.8,1245.1
d6c30d4aa6.jpg,person,0.9,761.1,651.5,1028.6,944.2
d6c30d4aa6.jpg,person,0.9,43.1,145.5,407.4,941.7
a1863c08f7.jpg,person,0.66,269.9,386.2,384.7,669.8
a1863c08f7.jpg,person,0.62,215.8,408.2,296.5,666.0
a1863c08f7.jpg,person,0.57,47.0,0.7,764.9,297.4
a1863c08f7.jpg,person,0.53,8.4,411.8,161.8,682.3
a1863c08f7.jpg,person,0.45,155.9,442.8,231.8,642.4
a1863c08f7.jpg,person,0.41,543.8,338.9,767.6,665.2
a1863c08f7.jpg,person,0.38,154.5,441.3,249.9,672.5
a1863c08f7.jpg,person,0.35,0.0,450.1,41.0,690.9
b23ba9d78a.jpg,person,0.93,436.9,25.4,831.9,554.3
b23ba9d78a.jpg,person,0.92,147.8,30.1,328.4,280.9
b23ba9d78a.jpg,person,0.92,435.0,561.2,798.9,818.2
b23ba9d78a.jpg,person,0.91,39.5,311.2,328.0,816.2
297fe5287a.jpg,person,0.78,266.6,796.0,397.5,899.2
297fe5287a.jpg,person,0.71,623.7,48.5,859.2,340.9
297fe5287a.jpg,person,0.69,71.1,485.2,308.5,705.3
297fe5287a.jpg,tie,0.58,195.0,609.6,233.7,652.6
297fe5287a.jpg,person,0.58,623.2,583.1,914.8,938.7
297fe5287a.jpg,person,0.27,69.5,699.7,256.1,938.1
297fe5287a.jpg,person,0.27,69.1,483.1,311.9,937.1
041f2d1e26.jpg,person,0.87,438.1,6.9,1078.5,930.2
041f2d1e26.jpg,person,0.82,0.4,38.3,683.4,931.8
dfbf6d2d1a.jpg,person,0.49,820.6,128.7,852.5,209.7
dfbf6d2d1a.jpg,person,0.36,429.8,32.0,606.5,230.3
dfbf6d2d1a.jpg,person,0.32,230.0,82.5,274.0,167.0
1b164dd541.jpg,person,0.59,356.0,140.4,719.0,504.8
1b164dd541.jpg,person,0.55,0.0,145.7,354.5,500.6
1b164dd541.jpg,person,0.27,63.8,146.2,288.2,422.2
1b164dd541.jpg,person,0.26,470.8,141.1,719.6,445.7
7f2899c697.jpg,person,0.86,326.2,403.4,1078.2,1022.2
7f2899c697.jpg,person,0.58,243.9,619.7,436.1,852.5
7f2899c697.jpg,person,0.46,241.1,619.2,468.3,987.7
de86652f93.jpg,person,0.81,184.2,92.6,917.2,595.1
01c1855fc6.jpg,person,0.92,384.7,279.8,732.3,966.0
e7a93a1093.jpg,blad,0.0,0.0,0.0,0.0,0.0
45bcb574d3.jpg,person,0.89,150.5,721.4,529.0,959.6
45bcb574d3.jpg,person,0.87,63.6,240.0,593.3,475.4
45bcb574d3.jpg,person,0.79,195.0,0.3,442.2,211.1
45bcb574d3.jpg,person,0.73,155.2,481.4,470.6,710.0
dccaa3ab53.jpg,fire hydrant,0.4,62.1,308.3,186.8,602.3
dccaa3ab53.jpg,chair,0.27,87.7,255.4,151.1,305.1
999075bf86.jpg,person,0.81,488.0,73.5,1044.4,679.8
999075bf86.jpg,person,0.77,18.9,3.6,529.4,678.4
999075bf86.jpg,tie,0.7,284.2,280.2,363.3,596.1
999075bf86.jpg,car,0.55,0.0,196.7,183.4,485.6
1b1d686fb2.jpg,person,0.63,183.4,161.6,771.2,733.2
e593c26036.jpg,brak,0.0,0.0,0.0,0.0,0.0
5bcfeb9b38.jpg,person,0.72,12.4,104.3,504.9,525.8
1a40287761.jpg,person,0.93,625.9,225.6,1080.0,735.4
1a40287761.jpg,person,0.32,172.1,216.4,639.0,735.1
573875ed54.jpg,person,0.61,202.8,370.4,342.4,513.8
573875ed54.jpg,person,0.33,375.0,370.5,470.6,516.2
573875ed54.jpg,person,0.33,375.6,370.3,469.9,583.2
facd7777f0.jpg,person,0.44,297.5,306.3,591.5,661.6
4111c1a058.jpg,person,0.67,259.8,10.6,551.7,335.5
4111c1a058.jpg,person,0.43,685.7,8.5,928.3,408.6
41bb7ffca4.jpg,person,0.93,39.0,135.5,649.6,509.5
41bb7ffca4.jpg,person,0.65,238.5,590.9,692.9,959.9
41bb7ffca4.jpg,person,0.38,159.2,590.7,354.1,892.6
41bb7ffca4.jpg,person,0.36,252.7,590.7,537.6,891.6
5c04de5441.jpg,brak,0.0,0.0,0.0,0.0,0.0
3755f8e576.jpg,person,0.56,24.9,381.5,95.9,784.0
3755f8e576.jpg,person,0.49,227.3,394.3,366.3,784.8
3755f8e576.jpg,person,0.43,852.2,386.1,920.9,606.1
3755f8e576.jpg,person,0.38,779.3,388.4,921.3,784.7
3755f8e576.jpg,person,0.28,914.7,424.0,1053.8,783.7
3755f8e576.jpg,person,0.27,594.0,382.4,780.0,784.1
659865324e.jpg,person,0.85,59.8,7.1,897.7,730.9
659865324e.jpg,cell phone,0.53,581.7,249.7,726.7,491.3
15b8cb890f.jpg,dog,0.86,0.4,70.3,523.5,580.4
0a3b18af99.jpg,person,0.88,233.7,331.4,764.1,927.5
0a3b18af99.jpg,person,0.81,174.7,934.5,1073.5,1208.7
0a3b18af99.jpg,skateboard,0.8,367.2,782.9,560.2,1033.7
65828a9258.jpg,person,0.35,154.9,687.5,343.7,915.1
65828a9258.jpg,person,0.34,128.1,235.2,371.2,448.8
65828a9258.jpg,vase,0.33,0.0,36.8,48.7,235.6
65828a9258.jpg,person,0.31,271.6,672.1,566.5,921.7
d3c2218d4a.jpg,person,0.46,349.9,330.2,694.5,748.9
d3c2218d4a.jpg,person,0.4,395.8,653.7,435.3,730.4
d3c2218d4a.jpg,person,0.39,11.9,326.6,667.0,881.7
d3c2218d4a.jpg,person,0.33,391.6,653.0,437.4,755.7
627d41d88b.jpg,person,0.84,173.4,251.3,461.8,461.2
627d41d88b.jpg,person,0.58,208.8,0.4,495.3,200.0
627d41d88b.jpg,person,0.58,135.8,480.4,478.7,657.3
627d41d88b.jpg,person,0.48,101.8,114.8,235.2,196.4
4da28466af.jpg,brak,0.0,0.0,0.0,0.0,0.0
4e062c78d4.jpg,person,0.89,173.0,331.9,882.9,1337.0
4e062c78d4.jpg,stop sign,0.29,6.4,0.5,1043.4,452.6
b4a1773263.jpg,person,0.9,290.4,363.0,613.3,1103.7
b4a1773263.jpg,person,0.79,93.5,473.7,338.3,1002.5
b4a1773263.jpg,bicycle,0.57,153.4,775.0,365.4,1112.8
b4a1773263.jpg,person,0.43,453.5,158.4,1029.0,1104.1
b4a1773263.jpg,bicycle,0.27,330.3,780.4,424.3,1015.6
5a43a00018.jpg,person,0.78,433.0,74.2,674.9,439.4
5a43a00018.jpg,person,0.68,146.2,55.9,457.1,399.8
5a43a00018.jpg,tie,0.55,268.3,175.0,319.3,209.8
5a43a00018.jpg,tie,0.43,531.4,208.2,562.3,254.9
d3d36c1cb4.jpg,person,0.84,55.0,273.7,387.2,646.5
d3d36c1cb4.jpg,person,0.78,737.5,263.9,1077.6,697.0
d3d36c1cb4.jpg,person,0.66,411.1,225.3,759.3,620.1
d3d36c1cb4.jpg,person,0.3,148.1,280.6,236.3,428.7
446065fda6.jpg,person,0.87,664.8,421.0,1059.0,1060.3
446065fda6.jpg,person,0.83,140.8,416.3,588.6,962.4
446065fda6.jpg,tie,0.59,801.2,713.0,855.3,1054.7
446065fda6.jpg,cup,0.49,591.4,899.9,676.0,1026.5
446065fda6.jpg,tie,0.37,795.2,703.9,840.3,1057.9
446065fda6.jpg,tie,0.33,332.1,642.1,390.2,892.8
c825b77f30.jpg,person,0.93,236.5,659.6,845.9,1133.1
c825b77f30.jpg,person,0.92,361.7,1.7,669.8,554.0
c825b77f30.jpg,person,0.91,839.6,43.9,1079.2,556.7
c825b77f30.jpg,person,0.89,0.8,568.0,226.4,1132.9
c825b77f30.jpg,tie,0.77,429.1,164.3,514.7,477.5
c825b77f30.jpg,tie,0.74,538.8,965.7,618.4,1133.3
c825b77f30.jpg,tie,0.64,5.5,824.4,115.9,1132.0
c825b77f30.jpg,tie,0.49,845.0,223.0,927.5,400.1
ef579f0e47.jpg,bed,0.67,0.2,163.2,762.8,807.9
21e9925f21.jpg,person,0.69,59.4,21.4,281.6,299.1
02967a519d.jpg,person,0.97,0.5,1.0,540.6,535.5
02967a519d.jpg,person,0.95,0.7,539.8,549.1,1079.3
02967a519d.jpg,person,0.94,536.9,540.6,1078.7,1078.7
02967a519d.jpg,person,0.89,542.9,1.5,1079.6,533.8
02967a519d.jpg,cell phone,0.31,396.8,194.6,439.8,244.9
02967a519d.jpg,cell phone,0.31,397.2,170.7,461.4,246.3
e0e0f6d84e.jpg,bottle,0.72,17.7,439.9,186.8,824.0
e0e0f6d84e.jpg,person,0.65,6.9,33.7,675.0,873.9
efe5befe8a.jpg,person,0.87,126.8,36.6,897.4,1294.3
efe5befe8a.jpg,tie,0.38,443.6,444.9,510.4,605.0
efe5befe8a.jpg,tie,0.3,442.0,442.5,512.2,725.3
e06d25a537.jpg,person,0.83,3.3,543.4,556.7,899.2
8bcbeb33ef.jpg,person,0.91,189.5,410.3,861.1,1000.3
8bcbeb33ef.jpg,microwave,0.36,672.7,699.3,989.2,889.9
9da9817fb6.jpg,person,0.92,114.7,618.2,667.0,1174.4
9da9817fb6.jpg,person,0.88,157.9,96.1,662.4,580.1
9da9817fb6.jpg,person,0.82,602.7,95.1,1077.4,573.0
9da9817fb6.jpg,tie,0.8,379.0,295.2,435.3,442.7
9da9817fb6.jpg,person,0.69,591.5,624.4,1080.0,1173.0
9da9817fb6.jpg,tie,0.56,376.2,862.9,428.7,917.6
fcd87d22c1.jpg,person,0.84,404.6,0.6,1007.9,517.2
fcd87d22c1.jpg,book,0.54,0.9,512.5,1056.5,1004.8
7202d7aae6.jpg,person,0.92,111.4,212.5,495.4,700.4
7202d7aae6.jpg,tv,0.42,33.4,400.7,120.7,508.5
fd423f72f8.jpg,person,0.9,739.6,365.1,1080.0,738.0
fd423f72f8.jpg,person,0.87,570.9,2.6,1068.8,335.0
fd423f72f8.jpg,person,0.84,433.1,461.4,669.2,743.8
fd423f72f8.jpg,chair,0.63,389.7,569.3,487.7,739.3
fd423f72f8.jpg,bottle,0.62,738.9,635.6,790.2,755.1
fd423f72f8.jpg,person,0.58,200.3,11.4,461.6,310.6
fd423f72f8.jpg,bottle,0.58,468.8,677.1,512.3,742.9
fd423f72f8.jpg,person,0.56,83.9,9.7,468.8,739.5
fd423f72f8.jpg,bottle,0.45,258.8,243.3,309.2,342.2
fd423f72f8.jpg,bottle,0.38,582.9,193.8,648.5,327.9
fd423f72f8.jpg,dining table,0.35,2.8,711.8,1080.0,815.2
82756f9f44.jpg,person,0.87,0.5,614.7,395.8,1031.7
82756f9f44.jpg,person,0.73,652.6,641.6,1079.1,1033.1
4108973f86.jpg,person,0.91,0.0,181.1,261.3,616.6
4108973f86.jpg,person,0.9,241.7,241.4,530.1,615.4
4108973f86.jpg,tie,0.69,170.3,438.9,253.4,616.7
4108973f86.jpg,tie,0.56,415.3,367.1,458.9,565.7
4108973f86.jpg,tie,0.27,305.5,362.8,438.8,617.0
b7f5cfb8c1.jpg,person,0.96,533.6,2.6,1079.5,532.5
b7f5cfb8c1.jpg,person,0.91,599.9,556.3,1071.1,1028.6
8e7016508c.jpg,brak,0.0,0.0,0.0,0.0,0.0
93dd1113c3.jpg,tv,0.43,8.1,27.2,484.9,493.7
edd51a229a.jpg,person,0.81,262.4,19.2,1080.0,687.1
edd51a229a.jpg,cell phone,0.32,0.4,448.7,111.7,777.0
0911f21b08.jpg,person,0.82,1.4,3.0,748.9,995.0
0911f21b08.jpg,person,0.29,87.1,0.0,609.5,550.7
24f6c7877d.jpg,person,0.32,279.0,337.8,911.5,615.3
24f6c7877d.jpg,book,0.3,174.8,529.8,299.7,604.5
24f6c7877d.jpg,chair,0.3,559.5,201.1,748.8,379.7
0490b40499.jpg,person,0.74,488.9,440.0,880.1,757.4
0490b40499.jpg,person,0.7,179.7,113.1,360.2,324.5
0490b40499.jpg,person,0.63,486.8,110.1,839.1,430.7
0490b40499.jpg,person,0.35,120.1,439.7,402.3,707.9
0490b40499.jpg,person,0.34,50.3,439.2,453.6,753.1
d577a6d0cd.jpg,person,0.37,486.0,0.6,621.5,203.5
5bb9104f72.jpg,cell phone,0.33,331.2,222.6,527.4,456.9
5bb9104f72.jpg,train,0.28,2.1,241.5,225.1,503.6
86597e5ab5.jpg,person,0.96,365.4,678.2,1078.5,1349.0
86597e5ab5.jpg,tie,0.94,661.5,431.5,784.9,504.1
86597e5ab5.jpg,tie,0.93,650.5,1049.9,792.7,1141.5
86597e5ab5.jpg,person,0.81,274.5,908.2,432.8,1349.2
86597e5ab5.jpg,person,0.75,198.0,918.6,320.3,1348.5
86597e5ab5.jpg,person,0.74,592.6,111.3,1038.2,716.2
2468c63c58.jpg,person,0.87,204.6,422.5,824.8,953.2
2468c63c58.jpg,tie,0.6,520.9,710.8,622.9,932.5
6e6a29da3b.jpg,person,0.9,119.4,362.8,705.3,873.0
6e6a29da3b.jpg,person,0.75,256.5,316.9,468.2,656.7
93e00ca181.jpg,person,0.75,718.4,185.2,1079.8,1005.0
93e00ca181.jpg,clock,0.31,578.7,1.5,1079.7,764.6
0f75891840.jpg,person,0.86,0.0,0.1,1078.0,774.8
54218331ad.jpg,person,0.9,144.2,45.4,405.6,402.6
54218331ad.jpg,person,0.88,431.5,497.0,640.0,852.3
54218331ad.jpg,train,0.82,0.0,422.2,640.0,851.3
54218331ad.jpg,train,0.45,2.5,0.9,639.4,421.1
54218331ad.jpg,tie,0.26,513.8,600.7,556.9,679.3
2ee4222eea.jpg,traffic light,0.38,17.4,442.0,501.8,1017.8
3973345695.jpg,person,0.74,60.4,36.5,549.6,713.3
3973345695.jpg,person,0.42,532.4,63.6,976.7,723.1
3973345695.jpg,person,0.35,518.8,188.4,556.6,289.9
3973345695.jpg,person,0.34,57.5,40.6,404.7,710.5
8c2adc86f9.jpg,brak,0.0,0.0,0.0,0.0,0.0
0fecd7be9a.jpg,brak,0.0,0.0,0.0,0.0,0.0
17e5354165.jpg,brak,0.0,0.0,0.0,0.0,0.0
c800a3bf93.jpg,person,0.93,0.0,605.2,524.1,1055.1
c800a3bf93.jpg,refrigerator,0.28,682.2,89.1,982.1,596.4
c800a3bf93.jpg,tv,0.26,799.4,167.3,908.6,265.3
6d6f7a2b77.jpg,brak,0.0,0.0,0.0,0.0,0.0
49664fc726.jpg,person,0.9,17.8,244.9,181.0,565.0
49664fc726.jpg,person,0.89,230.7,225.2,371.2,565.0
49664fc726.jpg,car,0.54,187.6,148.1,389.0,431.0
49664fc726.jpg,car,0.47,11.5,156.2,178.0,394.8
49664fc726.jpg,car,0.44,11.3,159.1,177.9,493.6
49664fc726.jpg,truck,0.35,186.2,148.4,389.3,435.0
ec802539b7.jpg,brak,0.0,0.0,0.0,0.0,0.0
0424510c43.jpg,person,0.82,0.0,5.2,718.0,692.5
ab6634d7a8.jpg,person,0.85,4.5,3.1,982.0,425.5
43a8e407ac.jpg,person,0.92,407.2,1.7,716.2,357.7
43a8e407ac.jpg,person,0.46,398.8,458.1,684.7,720.6
df1249413d.jpg,person,0.87,1104.6,578.5,1289.4,1248.0
df1249413d.jpg,person,0.81,39.7,523.4,1096.5,1249.5
df1249413d.jpg,person,0.45,788.5,63.8,1179.5,510.5
f0c5c98336.jpg,person,0.89,59.1,347.1,509.6,703.8
f0c5c98336.jpg,person,0.83,15.0,0.5,527.7,339.5
f0c5c98336.jpg,tie,0.26,282.7,533.9,345.0,697.3
425a7003ae.jpg,person,0.75,186.9,86.5,374.5,296.8
89c31748e1.jpg,person,0.87,8.3,118.9,754.5,808.2
af0fef52b5.jpg,vase,0.58,826.3,110.7,1079.1,529.8
af0fef52b5.jpg,person,0.26,511.3,215.9,735.4,501.7
b7e860d37b.jpg,person,0.74,445.3,301.0,768.7,1023.0
b7e860d37b.jpg,person,0.3,839.3,352.3,918.3,726.5
f16b25aa1d.jpg,person,0.93,160.8,264.5,413.9,814.6
f16b25aa1d.jpg,person,0.82,604.2,344.1,968.2,787.1
a79bff62a2.jpg,person,0.92,462.5,0.4,954.3,532.9
a79bff62a2.jpg,person,0.9,80.9,50.4,533.0,535.5
a79bff62a2.jpg,person,0.35,0.0,62.6,86.9,455.7
a79bff62a2.jpg,person,0.32,0.1,66.5,85.7,324.9
f572d07607.jpg,brak,0.0,0.0,0.0,0.0,0.0
a82c8f369c.jpg,person,0.9,340.2,210.6,680.0,622.3
a82c8f369c.jpg,person,0.85,3.9,209.6,342.5,625.8
0fc0d92131.jpg,person,0.87,5.9,638.7,392.0,1019.2
0fc0d92131.jpg,person,0.79,651.0,670.9,1063.7,1035.6
0fc0d92131.jpg,sandwich,0.28,808.4,219.0,1020.0,481.3
0fc0d92131.jpg,chair,0.28,5.9,1.2,105.8,190.5
0e594b25c8.jpg,person,0.68,23.1,320.4,537.4,1077.4
262962761f.jpg,person,0.96,5.2,423.4,443.5,874.3
262962761f.jpg,person,0.95,449.0,426.5,884.8,873.9
262962761f.jpg,person,0.84,80.3,13.7,272.3,202.0
368977f68b.jpg,person,0.95,0.1,450.1,402.0,959.6
368977f68b.jpg,person,0.92,14.8,79.7,292.2,439.6
368977f68b.jpg,person,0.65,233.9,0.0,729.3,437.2
368977f68b.jpg,person,0.41,330.0,450.0,784.0,958.9
6334d2aaba.jpg,blad,0.0,0.0,0.0,0.0,0.0
6549c48782.jpg,person,0.93,152.5,55.8,343.6,227.3
6549c48782.jpg,person,0.92,345.3,51.5,511.9,229.0
6549c48782.jpg,person,0.92,350.0,382.6,509.7,535.3
6549c48782.jpg,person,0.91,346.9,234.9,509.1,376.3
6549c48782.jpg,person,0.9,165.2,236.4,322.2,376.9
6549c48782.jpg,person,0.9,0.4,380.4,152.2,541.8
6549c48782.jpg,person,0.89,17.9,64.7,151.2,223.2
6549c48782.jpg,person,0.89,156.9,381.5,355.6,536.9
6549c48782.jpg,person,0.88,339.2,540.7,497.7,663.0
6549c48782.jpg,person,0.86,517.2,51.0,663.3,226.4
6549c48782.jpg,person,0.84,25.2,230.2,143.1,377.5
6549c48782.jpg,person,0.82,239.0,688.7,323.8,777.7
6549c48782.jpg,person,0.81,555.6,385.4,654.4,527.2
6549c48782.jpg,person,0.8,0.2,662.9,136.1,777.9
6549c48782.jpg,person,0.8,335.0,669.0,497.8,777.7
6549c48782.jpg,person,0.77,177.2,551.3,310.8,665.3
6549c48782.jpg,tie,0.65,217.4,154.1,253.7,229.4
6549c48782.jpg,person,0.6,1.4,537.4,150.8,659.4
6549c48782.jpg,tie,0.44,413.0,149.5,429.4,195.0
6549c48782.jpg,tv,0.34,209.0,421.6,249.5,461.8
6549c48782.jpg,tv,0.33,382.4,423.4,422.2,463.7
6549c48782.jpg,person,0.29,563.6,262.8,649.4,377.1
9bed7a1dfb.jpg,person,0.62,493.5,334.5,953.8,957.8
9bed7a1dfb.jpg,person,0.42,0.4,329.9,367.9,959.1
9bed7a1dfb.jpg,dog,0.27,0.2,331.3,366.5,957.3
c0db6e08c9.jpg,person,0.94,14.4,35.0,663.6,606.9
c0db6e08c9.jpg,microwave,0.41,683.3,397.8,863.0,500.7
2e9b0a6915.jpg,person,0.6,3.5,313.5,665.0,904.4
03202d8ade.jpg,person,0.93,88.7,849.6,443.9,1079.6
03202d8ade.jpg,person,0.89,2.0,373.5,515.1,602.4
03202d8ade.jpg,person,0.88,595.4,134.4,1030.8,365.5
03202d8ade.jpg,person,0.87,0.5,132.1,410.6,367.6
03202d8ade.jpg,person,0.86,738.8,848.7,987.5,1079.6
03202d8ade.jpg,person,0.8,635.8,372.3,1024.0,602.9
03202d8ade.jpg,tie,0.7,233.0,1034.2,274.2,1079.5
03202d8ade.jpg,person,0.66,1.3,609.7,539.2,842.9
03202d8ade.jpg,person,0.3,574.7,611.0,1077.2,840.7
d2f9bbeb6c.jpg,person,0.74,266.9,10.8,499.6,483.9
fc3b05b0d4.jpg,person,0.93,170.1,123.1,345.6,499.2
fc3b05b0d4.jpg,person,0.7,109.4,370.3,191.8,501.4
fc3b05b0d4.jpg,person,0.6,19.7,408.0,76.7,501.9
fc3b05b0d4.jpg,person,0.41,456.6,146.7,680.1,501.4
fc3b05b0d4.jpg,person,0.31,355.6,145.2,684.1,501.8
5f6027ab1a.jpg,person,0.75,349.6,566.6,416.2,759.9
5f6027ab1a.jpg,chair,0.52,275.5,668.3,375.6,761.0
5f6027ab1a.jpg,chair,0.31,924.2,676.5,1059.6,759.2
5f6027ab1a.jpg,person,0.25,0.6,680.4,124.3,760.1
ffd01efb1d.jpg,book,0.67,73.3,134.5,746.1,657.7
ffd01efb1d.jpg,person,0.51,21.4,0.5,1036.5,655.8
ffd01efb1d.jpg,person,0.3,498.8,0.0,803.3,311.1
ffd01efb1d.jpg,person,0.27,502.6,0.3,1070.0,647.0
3e9426ff1e.jpg,person,0.87,63.1,98.9,1018.4,1041.9
3e9426ff1e.jpg,tie,0.42,366.7,865.5,831.8,1034.0
7622dfb71e.jpg,person,0.94,0.0,750.1,764.0,1438.9
7622dfb71e.jpg,cell phone,0.49,575.5,754.0,685.0,1078.4
7622dfb71e.jpg,person,0.26,331.5,283.0,652.7,628.9
e809efab78.jpg,person,0.66,105.0,26.4,956.1,924.4
4582d97238.jpg,person,0.93,642.4,480.5,1076.2,877.6
4582d97238.jpg,person,0.9,388.3,884.7,831.0,1299.5
4582d97238.jpg,person,0.84,419.6,0.0,827.8,395.9
4582d97238.jpg,person,0.79,740.7,406.8,861.1,641.1
4582d97238.jpg,person,0.76,4.6,445.8,406.7,876.5
4582d97238.jpg,person,0.73,979.3,405.0,1080.0,640.3
4582d97238.jpg,person,0.61,1.0,503.2,117.7,705.5
4582d97238.jpg,tie,0.55,312.4,1070.1,449.1,1262.6
4582d97238.jpg,person,0.52,236.3,386.6,410.2,577.4
4582d97238.jpg,tie,0.47,649.8,150.3,728.4,215.4
4582d97238.jpg,person,0.43,0.0,501.0,119.8,864.6
4582d97238.jpg,person,0.4,213.3,454.3,413.6,867.6
4582d97238.jpg,tie,0.3,613.1,1082.7,666.3,1188.8
31abc9db9d.jpg,person,0.88,767.3,257.2,919.6,436.8
31abc9db9d.jpg,person,0.88,766.2,821.2,920.2,1005.6
31abc9db9d.jpg,person,0.87,954.9,821.6,1079.3,1006.5
31abc9db9d.jpg,person,0.87,767.2,446.2,919.0,624.1
31abc9db9d.jpg,person,0.87,578.1,633.8,731.4,814.2
31abc9db9d.jpg,person,0.87,766.7,633.3,919.8,813.2
31abc9db9d.jpg,person,0.87,578.3,822.0,733.9,1005.0
31abc9db9d.jpg,person,0.86,955.0,446.4,1079.4,624.9
31abc9db9d.jpg,person,0.86,955.4,264.0,1079.4,437.9
31abc9db9d.jpg,person,0.85,954.9,633.8,1079.4,813.6
31abc9db9d.jpg,person,0.85,578.7,445.3,730.7,624.5
31abc9db9d.jpg,person,0.69,399.1,350.0,537.6,527.7
31abc9db9d.jpg,person,0.68,0.8,349.1,127.1,527.7
31abc9db9d.jpg,person,0.63,399.0,725.8,538.8,905.0
31abc9db9d.jpg,person,0.63,0.9,538.4,145.7,716.3
31abc9db9d.jpg,person,0.55,988.9,1011.5,1048.1,1042.0
31abc9db9d.jpg,person,0.54,8.8,912.8,117.0,1041.9
31abc9db9d.jpg,person,0.54,399.0,538.7,538.6,717.2
31abc9db9d.jpg,person,0.52,800.7,1011.9,859.6,1042.0
31abc9db9d.jpg,person,0.51,210.7,913.5,305.8,1041.1
31abc9db9d.jpg,person,0.46,403.6,913.3,493.4,1041.3
31abc9db9d.jpg,person,0.46,210.0,726.0,351.7,904.5
31abc9db9d.jpg,person,0.44,359.6,911.2,494.2,1041.3
31abc9db9d.jpg,person,0.44,23.5,725.6,122.5,903.7
31abc9db9d.jpg,person,0.41,167.3,346.5,310.5,527.0
31abc9db9d.jpg,person,0.4,613.4,1011.4,670.7,1041.9
31abc9db9d.jpg,person,0.35,21.8,725.1,163.6,905.7
31abc9db9d.jpg,person,0.32,214.2,728.0,309.6,900.9
31abc9db9d.jpg,person,0.3,212.3,538.2,311.1,715.4
31abc9db9d.jpg,person,0.29,202.0,348.7,323.6,528.5
31abc9db9d.jpg,person,0.27,578.9,268.0,733.3,438.4
31abc9db9d.jpg,person,0.26,167.2,535.7,311.1,715.5
0813444907.jpg,blad,0.0,0.0,0.0,0.0,0.0
20fd639619.jpg,brak,0.0,0.0,0.0,0.0,0.0
3ac3a81ae5.jpg,person,0.9,724.6,905.7,1079.9,1324.1
3ac3a81ae5.jpg,person,0.76,21.4,190.8,1057.0,863.2
3ac3a81ae5.jpg,tie,0.74,242.7,453.8,361.3,641.2
3ac3a81ae5.jpg,person,0.72,45.4,889.7,701.2,1324.5
3ac3a81ae5.jpg,tie,0.68,250.5,1147.0,310.7,1324.1
3ac3a81ae5.jpg,tie,0.57,819.3,1161.2,931.2,1322.6
3ac3a81ae5.jpg,person,0.33,716.9,309.2,1080.0,858.4
73d67c526f.jpg,person,0.93,22.2,193.6,531.8,1020.2
